destinationId, routeIds
140, 25,29,33,45,50,55,67,85
141, 25,29,33,36,37,45,55,65,71,81,85
142, 25,26,27,28,91
143, 26
144, 26,38,43
145, 26
146, 30
147, 30,45
148, 32,54
149, 32,72
150, 33,34,71
151, 33,34,68,71
152, 33,65,71,81
153, 34
154, 34
155, 34
156, 35
157, 36,71
158, 37
159, 37
160, 37,43,45,71
161, 38,43,45,49
162, 38
163, 38,75
164, 38
165, 38
166, 38,50,75,81
167, 38
168, 38
169, 39
170, 39
171, 39,49
172, 42
173, 42
174, 42
175, 43
176, 43,46,72,73,74
177, 43
178, 44
179, 44
180, 44,89
181, 44
182, 46
183, 46
184, 47
185, 47,54,84
186, 47
187, 47,65,71
188, 48
189, 48
190, 48
191, 51
192, 52,74,85
193, 52,59,88,90
194, 53
195, 53
196, 54,84
197, 54
198, 55
199, 56,71
200, 57,65
201, 57,65,90
202, 58
203, 58
204, 58
205, 59
206, 60
207, 61,68
208, 61
209, 61,88
210, 62,83
211, 63
212, 64
213, 64
214, 68
215, 69
216, 69
217, 70
218, 70
219, 72
220, 73
221, 74
222, 74
223, 74
224, 75
225, 76
226, 79
227, 80,93
228, 80
229, 81
230, 82,92
231, 82
232, 82
233, 82
234, 82
235, 83
236, 83
237, 84
238, 84
239, 85,91,91
240, 87
241, 91
242, 93
